Channel,Group,Source,Link
CCTV1,cctv,,http://iptv.pdsu.edu.cn/hls/cctv1hd.m3u8
CCTV2,cctv,,http://iptv.pdsu.edu.cn/hls/cctv2hd.m3u8
CCTV3,cctv,,http://iptv.pdsu.edu.cn/hls/cctv3hd.m3u8
CCTV4,cctv,,http://iptv.pdsu.edu.cn/hls/cctv4hd.m3u8
CCTV5,cctv,,http://iptv.pdsu.edu.cn/hls/cctv5hd.m3u8
CCTV5+,cctv,,http://iptv.pdsu.edu.cn/hls/cctv5phd.m3u8
CCTV6,cctv,,http://iptv.pdsu.edu.cn/hls/cctv6hd.m3u8
CCTV7,cctv,,http://iptv.pdsu.edu.cn/hls/cctv7hd.m3u8
CCTV8,cctv,,http://iptv.pdsu.edu.cn/hls/cctv8hd.m3u8
CCTV9,cctv,,http://iptv.pdsu.edu.cn/hls/cctv9hd.m3u8
CCTV10,cctv,,http://iptv.pdsu.edu.cn/hls/cctv10hd.m3u8
CCTV12,cctv,,http://iptv.pdsu.edu.cn/hls/cctv12hd.m3u8
CCTV14,cctv,,http://iptv.pdsu.edu.cn/hls/cctv14.m3u8
CCTV14,cctv,,http://iptv.pdsu.edu.cn/hls/cctv14hd.m3u8
中国教育1,special,,http://iptv.pdsu.edu.cn/hls/cetv1.m3u8
中国教育1,special,,http://iptv.pdsu.edu.cn/hls/cetv1hd.m3u8
东南卫视,weishi,,http://iptv.pdsu.edu.cn/hls/dnhd.m3u8
东方卫视,weishi,,http://iptv.pdsu.edu.cn/hls/dfhd.m3u8
四川卫视,weishi,,http://iptv.pdsu.edu.cn/hls/schd.m3u8
天津卫视,weishi,,http://iptv.pdsu.edu.cn/hls/tjhd.m3u8
山东卫视,weishi,,http://iptv.pdsu.edu.cn/hls/sdhd.m3u8
广东卫视,weishi,,http://iptv.pdsu.edu.cn/hls/gdhd.m3u8
江苏卫视,weishi,,http://iptv.pdsu.edu.cn/hls/jshd.m3u8
江西卫视,weishi,,http://iptv.pdsu.edu.cn/hls/jxhd.m3u8
河北卫视,weishi,,http://iptv.pdsu.edu.cn/hls/hebhd.m3u8
浙江卫视,weishi,,http://iptv.pdsu.edu.cn/hls/zjhd.m3u8
深圳卫视,weishi,,http://iptv.pdsu.edu.cn/hls/szhd.m3u8
湖北卫视,weishi,,http://iptv.pdsu.edu.cn/hls/hbhd.m3u8
湖南卫视,weishi,,http://iptv.pdsu.edu.cn/hls/hunanhd.m3u8
重庆卫视,weishi,,http://iptv.pdsu.edu.cn/hls/cqhd.m3u8
CHC高清电影,special,,http://iptv.pdsu.edu.cn/hls/chchd.m3u8
SiTV全纪实,special,,http://iptv.pdsu.edu.cn/hls/documentaryhd.m3u8
上海纪实人文,special,,http://iptv.pdsu.edu.cn/hls/docuchina.m3u8
北京冬奥纪实,special,,http://iptv.pdsu.edu.cn/hls/btv11hd.m3u8
北京文艺,special,,http://iptv.pdsu.edu.cn/hls/btv2hd.m3u8
北京新闻,special,,http://iptv.pdsu.edu.cn/hls/btv9hd.m3u8
湖南金鹰纪实,special,,http://iptv.pdsu.edu.cn/hls/gedocu.m3u8
CCTV1,cctv,,http://iptv.pdsu.edu.cn/hls/cctv1.m3u8
CCTV2,cctv,,http://iptv.pdsu.edu.cn/hls/cctv2.m3u8
CCTV3,cctv,,http://iptv.pdsu.edu.cn/hls/cctv3.m3u8
CCTV4,cctv,,http://iptv.pdsu.edu.cn/hls/cctv4.m3u8
CCTV5,cctv,,http://iptv.pdsu.edu.cn/hls/cctv5.m3u8
CCTV6,cctv,,http://iptv.pdsu.edu.cn/hls/cctv6.m3u8
CCTV7,cctv,,http://iptv.pdsu.edu.cn/hls/cctv7.m3u8
CCTV8,cctv,,http://iptv.pdsu.edu.cn/hls/cctv8.m3u8
CCTV9,cctv,,http://iptv.pdsu.edu.cn/hls/cctv9.m3u8
CCTV10,cctv,,http://iptv.pdsu.edu.cn/hls/cctv10.m3u8
CCTV11,cctv,,http://iptv.pdsu.edu.cn/hls/cctv11.m3u8
CCTV12,cctv,,http://iptv.pdsu.edu.cn/hls/cctv12.m3u8
CCTV13,cctv,,http://iptv.pdsu.edu.cn/hls/cctv13.m3u8
CCTV15,cctv,,http://iptv.pdsu.edu.cn/hls/cctv15.m3u8
CCTV世界地理,cctv,,http://iptv.pdsu.edu.cn/hls/sjdltv.m3u8
CCTV兵器科技,cctv,,http://iptv.pdsu.edu.cn/hls/gfjstv.m3u8
CCTV怀旧剧场,cctv,,http://iptv.pdsu.edu.cn/hls/hjjctv.m3u8
CCTV第一剧场,cctv,,http://iptv.pdsu.edu.cn/hls/dyjctv.m3u8
CCTV风云剧场,cctv,,http://iptv.pdsu.edu.cn/hls/fyjctv.m3u8
CCTV风云足球,cctv,,http://iptv.pdsu.edu.cn/hls/fyzqtv.m3u8
CCTV风云音乐,cctv,,http://iptv.pdsu.edu.cn/hls/fyyytv.m3u8
CGTN,cctv,,http://iptv.pdsu.edu.cn/hls/cctv16.m3u8
中国教育4,special,,http://iptv.pdsu.edu.cn/hls/cetv4.m3u8
云南卫视,weishi,,http://iptv.pdsu.edu.cn/hls/yntv.m3u8
兵团卫视,weishi,,http://iptv.pdsu.edu.cn/hls/bttv.m3u8
内蒙古卫视,weishi,,http://iptv.pdsu.edu.cn/hls/nmtv.m3u8
北京卫视,weishi,,http://iptv.pdsu.edu.cn/hls/btv1hd.m3u8
